system	arm	workload	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
baseline	b01	A	207205522	690630.0	4.4749	86.759	3706.8
baseline	b02	A	209244517	697434.0	4.4992	86.777	3761.4
baseline	b03	A	206781828	689211.0	4.4665	86.755	3729.4
baseline	n01	A	208699627	695604.0	4.4889	86.772	3769.1
baseline	n02	A	211829248	706024.0	4.4556	86.799	3774.4
baseline	n03	A	208730594	695695.0	4.5009	86.772	3653.4
baseline	n04	A	217344971	724412.0	4.4292	86.847	3796.7
baseline	r01	A	206999313	689933.0	4.435	86.757	3753.8
baseline	r02	A	211231939	704052.0	4.4701	86.794	3727.0
baseline	run3	A	211468685	704837.0	4.436	86.796	3772.5
f2load	f01	A	208354192	694449.0	4.4729	86.75	3815.2
f2load	f02	A	210814666	702653.0	4.4029	86.768	3870.3
f2load	f03	A	204547263	681749.0	4.4421	86.707	3825.2
f2load	f04	A	208726440	695677.0	4.4307	86.752	3793.6
f2load	f05	A	208011797	693314.0	4.4391	86.744	3881.0
f2load	f06	A	211942980	706421.0	4.3795	86.788	3884.7
f2load	f07	A	204597360	681932.0	4.4777	86.722	3761.3
f2load	f08	A	209985782	699867.0	4.4713	86.781	3812.8
f2load	f09	A	209792149	699255.0	4.4147	86.751	3830.3
f2load	f10	A	208624239	695346.0	4.4599	86.755	3761.2
f2load	f11	A	207694001	692260.0	4.489	86.749	3792.7
f2load	f12	A	208252703	694110.0	4.4501	86.761	3744.4
f2load	f13	A	211998794	706600.0	4.439	86.777	3866.2
f2load	f14	A	208568820	695170.0	4.4373	86.759	3793.7
f2load	f15	A	207368026	691173.0	4.4284	86.753	3773.4
baseline	b01	B	318395530	1061213.0	3.8788	83.55	508.0
baseline	b02	B	309303353	1030912.0	3.9788	83.502	513.4
baseline	b03	B	305770547	1019138.0	3.9947	83.484	522.0
baseline	n01	B	311167813	1037150.0	3.9037	83.512	506.5
baseline	n02	B	308668054	1028822.0	3.9457	83.499	517.5
baseline	n03	B	317259774	1057433.0	3.9089	83.544	508.9
baseline	n04	B	319588943	1065193.0	3.8781	83.556	513.5
baseline	r01	B	309701640	1032260.0	3.9707	83.504	511.5
baseline	r02	B	309451373	1031433.0	3.9616	83.503	518.9
baseline	run3	B	313997005	1046564.0	3.9105	83.527	510.3
f2load	f01	B	317141064	1057056.0	3.8928	83.52	536.4
f2load	f02	B	311560247	1038428.0	3.9498	83.483	534.3
f2load	f03	B	313516547	1044963.0	3.9164	83.49	544.1
f2load	f04	B	310984323	1036490.0	3.9511	83.491	525.1
f2load	f05	B	315856825	1052770.0	3.9779	83.51	537.1
f2load	f06	B	311803698	1039271.0	3.9376	83.501	531.7
f2load	f07	B	309346964	1031087.0	3.9733	83.486	532.7
f2load	f08	B	315128076	1050345.0	4.0422	83.538	539.7
f2load	f09	B	313547846	1045066.0	3.9028	83.485	528.2
f2load	f10	B	313069629	1043452.0	3.8953	83.503	518.6
f2load	f11	B	313615565	1045281.0	3.9103	83.506	533.0
f2load	f12	B	307958887	1026435.0	3.9692	83.487	534.4
f2load	f13	B	317814721	1059288.0	3.9759	83.524	544.5
f2load	f14	B	314681219	1048810.0	3.8846	83.52	550.8
f2load	f15	B	312109169	1040266.0	3.9508	83.512	541.8
baseline	b01	C	479123996	1596912.0	3.6244	60.292	
baseline	b02	C	492920647	1642937.0	3.3778	60.293	
baseline	b03	C	475682943	1585459.0	3.7315	60.292	
baseline	n01	C	478276874	1594123.0	3.6498	60.292	
